userID;fio;phone;login;password;type
1;Широков Василий Матвеевич;89210563128;login1;pass1;Менеджер
2;Кудрявцева Ева Ивановна;89535078985;login2;pass2;Специалист
3;Гончарова Ульяна Ярославовна;89210673849;login3;pass3;Специалист
4;Гусева Виктория Данииловна;89990563748;login4;pass4;Оператор
5;Баранов Артём Юрьевич;89994563847;login5;pass5;Оператор
6;Овчинников Фёдор Никитич;89219567849;login6;pass6;Заказчик
7;Петров Никита Артёмович;89219567841;login7;pass7;Заказчик
8;Ковалева Софья Владимировна;89219567842;login8;pass8;Заказчик
9;Кузнецов Сергей Матвеевич;89219567843;login9;pass9;Заказчик
10;Беспалова Екатерина Даниэльевна;89219567844;login10;pass10;Специалист
