1;фио;телефон;емейл
2;Буркова Юоий;2 131 231 23 12;020202nikolaevsk@mail.ru
3;Жербин Иосиф Ефремович ;2 131 223 23 12;06061991@mail.ru
4;Полевщикова Диана Родионовна ;8-154-586-92-42;11morozov11@rambler.ru
5;Кочинян Константин Федорович ;8-434-585-96-83;12sdaa222@mail.ru
6;Жаворонков Андрей Демьянович ;9:154:385:74:68;12222@mail.ru
7;Якубович Тарас Святославович ;8:154:586:92:42;1234444@mail.ru
8;Чазов Всеволод Серафимович ;9(154)385-74-68;ar.batyuta2012@yandex.ru
9;Валеева Ариадна Потаповна ;9(206)548-65-85;arammal@mail.ua
10;Шеншина Лиана Ильевна ;3(806)371-01-36;aramam1213al@mail.ua
11;Таланова Ариадна Филипповна ;"3;806;381;16;91";zgets@rambler.ru
12;Барков Эрнест Кондратиевич ;"""+3(806)391-37-49";Zheka1996171@yandex.ru
13;Слепцова Эмма Емельяновна ;3(806)371-01-36;zheka26rus87@gmail.com
14;Кропанин Зиновий Проклович ;4(973)133-06-66;zhen.zhenya2013@yandex.ru
15;Подкользина Раиса Кузьмевна ;"""+7-(101)-157-82-51";wot_akk_091@mail.ru
16;Яблочкина Каролина Филипповна ;"""+74535345455";wot_game26@ukr.net
17;Чуканова Ярослава Кузьмевна ;"""+74912510015";wot_jeff@mail.ru
18;Стрелков Егор;"""+1543857461";wot_tanks_wot@bk.ru
29;Ожегов Наум Адамович ;8 6 9 2 1 2 0 0 4 1 ;nighthawk@live.com
66;Масмехова Ефросиния Данилевна ;7-5-4-1-4-6-9-3-4-9;gumpish@comcast.net
67;Блинова Дина Карповна ;7 7 5 0 4 7 6 9 6 1 ;kingjoshi@icloud.com
68;Костомаров Венедикт Вадимович ;9-8-3-4-8-2-1-5-4-3;specprog@outlook.com
69;Янишевский Эрнст Архипович ;4-3-9-4-5-1-3-8-7-5;subir@yahoo.com
70;Лапухова Альбина Иларионовна ;6 0 8 6 8 9 4 6 1 0 ;fmerges@live.com
71;Козина Антонина Романовна ;8-5-6-7-0-7-7-2-8-5;crandall@live.com
72;Бутылин Зиновий Гаврилевич ;8-3-1-1-9-1-5-5-7-4;pierce@gmail.com
73;Панькив Геннадий Эмилевич ;"""9-2-3-5-2-3-1-1-8-1";jpflip@outlook.com
74;Пичугина Ираида Казимировна ;6-5-3-8-8-0-5-1-4-6;denton@outlook.com
75;Губанова Ефросиния Александровна ;"""7-2-5-4-7-0-2-1-5-2";ateniese@outlook.com
76;Луковникова Дина Всеволодовна ;4 6 3 3 5 5 4 0 6 6 ;lishoy@live.com
77;Щурова Стела Елисеевна ;8-6-6-7-1-3-4-0-6-9;wsnyder@live.com
78;Сухарев Гаврила Федосиевич ;3-4-1-0-7-5-1-9-7-6;bachmann@yahoo.com
79;Ратникова Эдуард;"""4-0-6-4-4-5-0-6-4-9";sravani@sbcglobal.net
80;Канунникова Христина Олеговна ;0-3-8-8-9-8-8-7-5-6;uraeus@att.net
81;Коршунова Тамара Феликсовна ;7 3 9 2 4 7 8 8 7 9 ;godeke@aol.com
82;Кондучалова Милена Казимировна ;2 1 6 0 7 8 8 0 9 5 ;storerm@mac.com
83;Рубашкина Светлана Павеловна ;4-3-7-1-9-6-3-0-9-1;staffelb@gmail.com
84;Арсеньева Вероника Александровна ;2 3 3 5 2 1 2 8 5 2 ;cgarcia@aol.com
85;Подоров Борислав Георгиевич ;0-0-6-2-8-1-0-8-4-6;hllam@gmail.com
86;Просвирнина Ефросинья Николаевна ;9-8-5-4-3-8-2-5-6-9;presoff@sbcglobal.net
87;Цыцын Парфен Адамович ;2-9-2-7-2-6-7-7-1-0;frosal@me.com
88;Дедова Светлана Яновна ;"""5-3-6-4-7-7-1-0-1-6";matty@msn.com
89;Игнаткович Пахом Ильевич ;"""5-4-5-9-7-7-3-5-9-5";fudrucker@sbcglobal.net
90;Марьина Рада Игнатиевна ;1-8-7-9-1-9-3-1-7-4;matthijs@me.com
91;Распутина Стела Германовна ;"""3-3-2-7-8-1-4-4-5-8";paulv@aol.com
92;Русаков Елизар Геннадиевич ;8 3 8 2 2 9 9 3 6 0 ;biglou@yahoo.ca
93;Оськин Емельян Яковович ;6 1 8 7 7 6 2 7 0 9 ;sartak@gmail.com
94;Капылюшный Карл Викентиевич ;9-0-1-6-9-9-2-0-5-9;ournews@yahoo.com
95;Бебнева Екатерина Алексеевна ;8 0 3 0 9 6 4 1 3 8 ;sjava@msn.com
98;Дубинкин Константин Касьянович ;5 3 8 3 6 7 5 2 8 5 ;scitext@hotmail.com
99;Щеголяева Павел;3 7 4 6 9 8 8 2 2 0 ;giafly@sbcglobal.net
100;Курчатова Анисья Степановна ;5 1 8 2 8 0 4 1 2 3 ;bryanw@live.com
